Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Böttcher, Gerlinde Leonore;2009;16;1;;1
Böttger, Dr. Martin Theodor;2009;6;4;167;10
Botz, Dr. Gerhard;2009;5;1;197;12
Bouffier-Pfeffer, Karin;2009;56;2;;11
Bousonville, Reiner;2009;;4;181;11
Böwering, Karl-Heinz;2009;;9;125;9
Boxler, Stefan Alois;2009;;4;165;10
Braak ter, Michael;2009;20;23;;8
Bräcklein, Falk;2009;24;4;;12
Bradel, Friederike;2009;5;18;;9
Brähmig, Klaus Peter;2009;7;2;159;10
Brand, Matthias;2009;8;14;;14
Brand, Michael;2009;21;2;176;11
Brand, Rolf Ferdinand;2009;37;5;148;9
Brandau, Britta;2009;2;13;;8
Brandes, Bernd Joachim Ernst;2009;11;5;9;1
Brandes, Gert;2009;14;6;44;4
Brändle, Andreas;2009;;6;41;4
Brandner, Klaus;2009;9;1;132;9
Brandt, Helmut;2009;29;2;89;9
Brandt, Nina;2009;26;22;117;9
Brandt, Thomas;2009;36;5;112;9
Braner, Christian;2009;22;5;244;14
Branghofer, Max;2009;4;9;;9
Brase, Willi;2009;16;1;149;9
Bräuer, Benjamin;2009;;4;279;15
Brauksiepe, Dr. Ralf;2009;17;2;140;9
Braun, Adolf;2009;18;2;;10
Braun, Alfons;2009;;8;213;13
Braun, Andrea;2009;5;4;;6
Braun, Andreas;2009;;4;264;15
Braun, Helge;2009;14;2;175;11
Braun, Karl;2009;32;5;281;15
Braun, Petra;2009;20;22;126;9
Braun, Rolf;2009;17;11;;15
Braune, Rolf;2009;9;11;;15
Bräuniger, Eckart;2009;5;9;83;8
Brechbilder, Belinda;2009;;6;252;14
Bredel, Andreas;2009;21;1;;13
Breil, Klaus;2009;16;5;227;14
Breite, Ulrich;2009;;5;94;9
Bremer, Brigitte;2009;22;5;;11
Bremer, Klaus;2009;9;22;170;11
Bremer, Michael;2009;;6;67;7
Brenncke, Joachim;2009;9;2;;2
Brennecke, Martin;2009;;6;229;14
Bresonik, Frank;2009;2;10;126;9
Bretschneider, Karsten;2009;28;6;;10
Breyer, Werner;2009;41;5;;11
Brick, Gisela;2009;;4;114;9
Brink, Matthias;2009;18;9;68;7
Brinkmann, Antonie Marie;2009;2;6;;5
Brinkmann, Bernhard;2009;22;1;48;4
Britz, Wolfgang;2009;9;14;298;16
Brock, Ines;2009;3;4;72;7
Brock, Sven;2009;26;4;;12
Brocker, Thomas;2009;10;9;;2
Brodbeck, Matthias;2009;;9;269;15
Brominski, Klaus-Dieter;2009;;9;118;9
Brömme, Werner;2009;;4;62;6
Bronner, Hugo;2009;40;2;;15
Brosig, Steffen;2009;6;15;;4
Brown, Friederike;2009;9;12;;9
Brübach, Wolfgang Albert;2009;16;1;;12
Brückner, Ilka;2009;7;5;;12
Brüderle, Rainer;2009;1;5;207;13
Brüggemann, Christian;2009;7;14;;14
Bruhn, Daniel;2009;21;15;;10
Bruhn, Wolfgang;2009;;9;99;9
Brummer, Doris;2009;52;2;;15
Brunar, Iris;2009;;4;71;7
Brüning, Hans-Werner;2009;10;6;69;7
Brüning, Monika;2009;18;2;43;4
Brunke, Uwe;2009;;9;224;14
Brunkhorst, Angelika;2009;5;5;29;4
Brunner, Paul Stephan;2009;22;4;247;14
Brunnhuber, Georg;2009;;2;271;15
Bruns, Sylvia;2009;16;5;100;9
Bublitz, Jürgen;2009;4;12;;9
Buchen, Renate;2009;38;1;;15
Buchholz, Christel Margret;2009;12;1;;1
Buchmann, Daniel;2009;5;15;;9
Buchta, Bettina Dorothee;2009;5;22;;4
Buck, Josef;2009;4;22;;15
Bugiel, Hartmut;2009;60;1;;4
Buhisan, Dr. Dietrich;2009;5;11;;6
Buhl, Susanne;2009;7;1;;3
Buhlert, Dr. Magnus Heinrich;2009;1;5;54;5
Bukow, Wolfgang Hans Alfred;2009;7;9;;14
Bukschat, Anton Andreas;2009;2;12;168;10
Bulfon, Dr. Annette;2009;15;5;217;14
Buljevic, Vesna;2009;6;22;;9
Bulke, Peter;2009;7;8;;15
Bulling-Schröter, Eva;2009;2;6;218;14
Bulmahn, Edelgard;2009;2;1;42;4
Bülow von, Dr. Juliane;2009;19;2;;15
Bülow, Marco;2009;52;1;143;9
Bummel, Andreas;2009;20;5;185;11
Bunge, Dr. Martina;2009;2;6;12;2
Bünger, Clara-Anne;2009;13;6;;10
Bunk, Erwin;2009;;12;174;11
Burchardt, Ursula;2009;55;1;144;9
Burgbacher, Ernst;2009;3;5;286;15
Burgmann, Jessica;2009;4;14;;9
Burkart, Karin;2009;7;4;;16
Burkert, Boris;2009;;4;230;14
Burkert, Martin;2009;23;1;246;14
Burkert, Michael;2009;8;9;193;12
Burkhardt, Bela;2009;13;6;;3
Bürmann-Hackbarth, Helga;2009;;31;53;4
Burmeister, Vincent;2009;2;20;;3
Bürsch, Dr. Michael Peter Karsten;2009;10;1;6;1
Busch, Birgit Grete;2009;4;1;;5
Buschkühl, Lisbeth;2009;24;5;139;9
Buschmann, Marco;2009;15;5;124;9
Butenschön, Brigitte;2009;8;22;;11
Buth, Thomas;2009;16;11;;8
Butscher, Johannes;2009;3;11;;15
Butterbach, Rainer;2009;2;11;;16
Butterweck, Dr. Christoph;2009;19;2;169;11
Buttgereit, Sven;2009;2;9;54;5
Caberta y Diaz, Ursula;2009;2;6;;3
Caesar, Cajus Julius;2009;34;2;136;9
Cakir, Murat;2009;8;6;;11
Cakmakli, Nuran;2009;13;22;;15
Canel, Sylvia;2009;3;5;;3
Carlhoff, Hans-Werner;2009;41;2;;15
Carstensen, Christian;2009;6;1;22;3
Casper, Peter;2009;20;1;;1
Caspers-Merk, Marion;2009;1;1;283;15
Caßemayer, Claudius Gabriel;2009;;6;101;9
Cassens, Hans-Joachim;2009;8;7;;7
Cassirer, Philip;2009;4;20;;3
Cavic, Sabine;2009;3;14;6;1
Cayrol, Nicole;2009;26;1;;16
Cezanne, Elke;2009;19;4;;11
Chaker, Ahmed;2009;31;6;;4
Chilla, Wolfgang;2009;17;15;;9
Chittka, Robert;2009;12;15;;11
Christann, Monika;2009;1;13;82;8
Christidis, Aris;2009;;6;175;11
Christinck, Heiner;2009;15;14;;9
Christner, Ursula;2009;5;11;;12
Christoph, Holger;2009;6;23;;8
Clade, Monika Elfriede;2009;10;8;;9
Clason, Bernhard Maria Hubert;2009;;6;110;9
Claus, Roland;2009;4;6;74;7
Connemann, Gitta;2009;12;2;26;4
Corr, Eva-Maria;2009;4;14;;13
Cramer, Hartmut;2009;1;15;;11
Crämer, Thorsten;2009;;9;104;9
Credo, Bernward;2009;25;4;;12
Cremer, Claus Gerd;2009;5;9;141;9
Cuntze, Albert;2009;;5;260;15
Curlisca, Jaroslav;2009;;16;219;14
Czerwinski, Norbert;2009;;4;108;9
Czisch, Gregor;2009;16;6;;11
Czycholl, Harald Bernhard Wilhelm;2009;6;5;;5
Czycholl, Roland Gerd Peter;2009;9;5;;5
Czylwick, Agathe;2009;4;22;;12
Dabrock, Heinz;2009;1;14;299;16
Dagdelen, Sevim;2009;7;6;115;9
Dagenbach, Alfred;2009;11;8;;15
Dahlbeck, Benjamin;2009;;9;122;9
Dahlmann, Ernst Adolf Wilh.;2009;11;11;;9
Daller, Oliver Josef;2009;52;1;;14
Dallmeier-Peschke, Sabine;2009;10;4;;2
Dammann, Adolf;2009;3;9;31;4
Damrau, Anne-Kristin;2009;4;20;;8
Danckert, Dr. Peter Wilhelm;2009;3;1;62;6
Daniel, Dirk;2009;13;2;;12
Danielzick, Dieter;2009;2;18;;9
Darmstadt, Peter Ludwig;2009;15;2;;10
Das, Uttam;2009;45;2;;15
Däschner, Karl;2009;;9;279;15
Daub, Egon;2009;7;9;;13
Daub, Helga;2009;;5;149;9
Däubler-Gmelin, Dr. Herta;2009;5;1;291;15
Dauenhauer, Alexander Christian;2009;28;5;;13
Dautzenberg, Leo;2009;;2;90;9
Dazer, Marko;2009;;9;180;11
Debus, Tanja;2009;4;8;;13
Decker, Jürgen;2009;64;5;129;9
Deckert, Günter;2009;;9;275;15
Deckert, Peter Franz Vinzent;2009;;9;283;15
Decruppe, Hans;2009;;6;92;9
Degner, Reiner;2009;3;9;;15
Dehm-Desoi, Dr. Jörg-Diether;2009;1;6;42;4
Dehnenkamp, Maren;2009;5;6;;5
Deicke, Thomas;2009;39;5;110;9
Deilmann, Clara;2009;15;4;107;9
Deinbeck, Jutta Maria Rosa;2009;27;4;;14
Deittert, Hubert;2009;42;2;132;9
Deligöz, Ekin;2009;5;4;256;14
Delwig, Katharina;2009;7;10;;9
Dembowsky, Martin;2009;7;9;24;3
Demel, Michael;2009;52;2;;11
Demuth, Jürgen;2009;;32;178;11
Denzin, Michael;2009;6;5;179;11
Despang, Rene;2009;12;9;;10
Detamble-Voss, Christine;2009;8;6;;3
Deter, Tilla;2009;16;5;284;15
Detjen, Dagmar Ulrike Hermine;2009;13;6;;9
Detjen, Jörg;2009;;6;96;9
Dettmar, Silvio;2009;3;8;;12
Detzler, Michael;2009;19;2;;16
Deuschle, Andreas;2009;36;2;;15
Deuschle, Siegfried;2009;;6;262;15
Deuschle, Ulrich;2009;1;8;;15
Deutsch, Ingrid;2009;9;9;;16
Deutschmann, Hannelore Kornelia;2009;2;22;;4
Deutsch-Otabo, Christel;2009;4;22;50;4
Dick, Bernhard;2009;29;1;;16
Dicke, Monika;2009;33;1;;11
Dickhut, Karl-Wilhelm;2009;;9;145;9
Dieckmann, Roland;2009;14;2;;1
Diehm, Dorothee;2009;;6;285;15
