Wähler;Ungültige;Ungültige;SPD;SPD;CDU;CDU;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;NPD;NPD;REP;REP;FAMILIE;FAMILIE;Die Tierschutzpartei;Die Tierschutzpartei;PBC;PBC;MLPD;MLPD;BüSo;BüSo;BP;BP;PSG;PSG;Volksabstimmung;Volksabstimmung;ZENTRUM;ZENTRUM;ADM;ADM;CM;CM;DKP;DKP;DVU;DVU;DIE VIOLETTEN;DIE VIOLETTEN;FWD;FWD;ödp;ödp;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Freie Union;Freie Union;Übrige;Übrige
;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
154838;2691;2317;58879;50032;39186;34680;10850;14947;21647;23486;16985;19727;0;0;2614;2045;0;330;0;0;0;0;0;397;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;657;0;0;0;0;0;0;0;3610;1563;2527;0;0;0;0;423;0
108017;3477;3020;33532;29446;22851;24913;8162;9068;32198;30550;4483;4587;0;0;3314;2494;0;170;0;0;0;0;0;0;0;84;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875;0;0;0;828;0;0;0;1829;0;0;0;0;0;0;0;0
105423;3325;3006;27570;26654;26416;24429;6372;7883;32670;31720;4371;4748;0;0;3918;3123;0;187;0;0;0;0;0;0;0;105;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;741;0;0;0;686;0;0;0;1952;0;0;0;0;0;0;781;0
171514;4907;4179;48621;42959;46088;41575;12963;19163;40334;38980;12193;12974;0;0;5400;4153;0;478;0;0;0;0;0;0;0;181;0;377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1305;0;0;0;1299;0;0;0;3891;0;0;0;0;0;0;1008;0
174098;4674;4419;38545;36651;39959;36678;11139;15335;62644;57051;8195;10225;0;0;6096;4381;0;423;0;0;0;0;0;0;0;210;0;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2144;0;0;0;1731;0;0;0;4523;0;0;0;0;0;0;2846;0
128273;3598;3708;40957;34451;30733;29834;7328;9992;35484;35643;4771;6047;0;0;3764;3013;0;172;0;0;0;0;0;0;0;151;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1163;0;0;0;807;0;0;0;3093;0;0;0;0;0;0;1638;0
174226;4387;3560;48720;44450;40708;36600;12356;17986;48515;43354;16479;18279;0;0;3061;2129;0;269;0;0;0;0;0;0;0;202;0;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939;0;0;0;942;0;0;0;5171;0;0;0;0;0;0;0;0
170204;5598;4739;53384;42834;40882;39092;11959;16102;43348;44923;9041;9912;0;0;5992;4711;0;368;0;0;0;0;0;0;0;162;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1255;0;0;0;1352;0;0;0;4357;0;0;0;0;0;0;0;0
139228;4461;3597;38470;32750;30153;30506;10125;12018;43589;42581;7502;7464;0;0;4928;3788;0;395;0;0;0;0;0;0;0;210;0;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1052;0;0;0;1108;0;0;0;3385;0;0;0;0;0;0;0;0
128179;4218;3530;34529;29999;29829;30360;10878;11230;37224;36561;5650;6093;0;0;4806;3765;0;344;0;0;0;0;0;0;0;179;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1169;0;0;0;1055;0;0;0;3636;0;0;0;0;0;0;1045;0
126140;4692;3992;32688;28022;35073;33467;8487;10865;34324;34203;3861;4238;0;0;5513;3839;0;278;0;0;0;0;0;0;0;137;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2399;0;0;0;1435;0;0;0;2995;0;0;0;0;915;0;587;0
112980;2552;2742;22070;19516;34501;33330;6558;9725;36910;37034;3725;5212;0;0;2461;2318;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;0;0;0;0;0;0;0;2422;0;0;0;0;0;0;4203;0
146265;3411;3224;31994;25606;46686;45060;13914;15368;41040;43781;5041;6081;0;0;3446;3033;0;0;0;0;0;0;0;0;0;331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;0;0;0;0;0;0;0;3320;0;0;0;0;0;0;733;0
144565;3140;2705;28783;24355;46720;44482;10250;13296;44002;45736;7796;7148;0;0;3871;3285;0;0;0;0;0;0;0;0;2;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346;0;0;0;0;0;0;0;2902;0;0;0;0;0;0;1;0
150236;2871;2531;32420;27817;45389;41192;9686;13503;47303;47538;8572;10199;0;0;2539;2205;0;0;0;0;0;0;0;0;612;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;288;0;0;0;0;0;0;0;4561;0;0;0;0;0;0;844;0
122932;2348;2120;22187;19739;43424;38247;8810;12614;36809;37709;5004;6131;0;0;2928;2627;0;0;0;0;0;0;0;0;544;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;878;0
145615;3498;3330;30774;23590;44726;43574;11119;15040;44803;47363;4938;5296;0;0;3719;3377;0;0;0;0;0;0;0;0;900;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0;0;0;3105;0;0;0;0;0;0;1138;0
